Time,Value
2022-02-23 19:00:20.1,1.03888
2022-02-23 19:00:20.2,0.974056
2022-02-23 19:00:20.3,0.982098
2022-02-23 19:00:20.4,0.99867
2022-02-23 19:00:20.5,0.958703
2022-02-23 19:00:20.6,0.95846
2022-02-23 19:00:20.7,0.99867
2022-02-23 19:00:20.8,0.96967
2022-02-23 19:00:20.9,0.994283
2022-02-23 19:00:21.0,0.986729
2022-02-23 19:00:21.1,1.00988
2022-02-23 19:00:21.2,0.975031
2022-02-23 19:00:21.3,0.995258
2022-02-23 19:00:21.4,0.993796
2022-02-23 19:00:21.5,0.99014
2022-02-23 19:00:21.6,0.992577
2022-02-23 19:00:21.7,0.999644
2022-02-23 19:00:21.8,0.989409
2022-02-23 19:00:21.9,1.01134
2022-02-23 19:00:22.0,1.01938
2022-02-23 19:00:22.1,1.00208
2022-02-23 19:00:22.2,1.0228
2022-02-23 19:00:22.3,1.01232
2022-02-23 19:00:22.4,1.02231
2022-02-23 19:00:22.5,1.01085
2022-02-23 19:00:22.6,1.02206
2022-02-23 19:00:22.7,1.00964
2022-02-23 19:00:22.8,1.01134
2022-02-23 19:00:22.9,1.01305
2022-02-23 19:00:23.0,1.03961
2022-02-23 19:00:23.1,1.02133
2022-02-23 19:00:23.2,1.02328
2022-02-23 19:00:23.3,1.01329
2022-02-23 19:00:23.4,1.00817
2022-02-23 19:00:23.5,1.00696
2022-02-23 19:00:23.6,1.02548
2022-02-23 19:00:23.7,1.00574
2022-02-23 19:00:23.8,1.0189
2022-02-23 19:00:23.9,0.996476
2022-02-23 19:00:24.0,0.998426
2022-02-23 19:00:24.1,1.00062
2022-02-23 19:00:24.2,1.00598
2022-02-23 19:00:24.3,1.00184
2022-02-23 19:00:24.4,1.01622
2022-02-23 19:00:24.5,1.00427
2022-02-23 19:00:24.6,0.993308
2022-02-23 19:00:24.7,1.0072
2022-02-23 19:00:24.8,0.993796
2022-02-23 19:00:24.9,0.991115
2022-02-23 19:00:25.0,0.983073
2022-02-23 19:00:25.1,1.00281
2022-02-23 19:00:25.2,0.956998
2022-02-23 19:00:25.3,1.00233
2022-02-23 19:00:25.4,0.980392
2022-02-23 19:00:25.5,1.00354
2022-02-23 19:00:25.6,1.0128
2022-02-23 19:00:25.7,0.999888
2022-02-23 19:00:25.8,0.970401
2022-02-23 19:00:25.9,1.00525
2022-02-23 19:00:26.0,1.01305
2022-02-23 19:00:26.1,1.00793
2022-02-23 19:00:26.2,1.01475
2022-02-23 19:00:26.3,1.01841
2022-02-23 19:00:26.4,1.0206
2022-02-23 19:00:26.5,0.975762
2022-02-23 19:00:26.6,1.00842
2022-02-23 19:00:26.7,0.999401
2022-02-23 19:00:26.8,1.04132
2022-02-23 19:00:26.9,1.00379
2022-02-23 19:00:27.0,1.03303
2022-02-23 19:00:27.1,0.986485
2022-02-23 19:00:27.2,1.0245
2022-02-23 19:00:27.3,0.98746
2022-02-23 19:00:27.4,1.03084
2022-02-23 19:00:27.5,1.01037
2022-02-23 19:00:27.6,1.01865
2022-02-23 19:00:27.7,1.0362
2022-02-23 19:00:27.8,1.04595
2022-02-23 19:00:27.9,1.01159
2022-02-23 19:00:28.0,1.02596
2022-02-23 19:00:28.1,1.01037
2022-02-23 19:00:28.2,1.01159
2022-02-23 19:00:28.3,1.00354
2022-02-23 19:00:28.4,1.0206
2022-02-23 19:00:28.5,1.03376
2022-02-23 19:00:28.6,1.01573
2022-02-23 19:00:28.7,1.02401
2022-02-23 19:00:28.8,0.992821
2022-02-23 19:00:28.9,1.01524
2022-02-23 19:00:29.0,0.998182
2022-02-23 19:00:29.1,1.01085
2022-02-23 19:00:29.2,0.983317
2022-02-23 19:00:29.3,1.04497
2022-02-23 19:00:29.4,0.999157
2022-02-23 19:00:29.5,1.00817
2022-02-23 19:00:29.6,1.00038
2022-02-23 19:00:29.7,0.993065
2022-02-23 19:00:29.8,0.989409
2022-02-23 19:00:29.9,1.02012
2022-02-23 19:00:30.0,0.977955
